website,phone_number,twitter,facebook,contact_email,linkedin,Name
{'value': 'http://www.designmux.com/'},,,,,,mux
{'value': 'http://www.vulcun.com'},(415) 599-2077,{'value': 'http://twitter.com/VulcunFS'},,support@vulcun.com,{'value': 'https://www.linkedin.com/company/vulcun'},vulcun-2
{'value': 'https://www.blissfully.com/'},(855)525-4774,{'value': 'https://twitter.com/blissfullycom'},{'value': 'https://www.facebook.com/pg/blissfullycom'},ariel@blissfully.com,{'value': 'https://www.linkedin.com/company/blissfully'},blissfully
{'value': 'http://www.stypi.com'},,{'value': 'https://twitter.com/stypi'},,support@stypi.com,{'value': 'https://www.linkedin.com/company/stypi'},stypi
{'value': 'http://www.flirtey.com'},,{'value': 'http://twitter.com/fly_flirtey'},,enquiries@flirtey.com,{'value': 'https://www.linkedin.com/company/3682244'},flirtey
{'value': 'http://www.rimeto.com'},,,{'value': 'https://www.facebook.com/rimeto.io'},hello@rimeto.com,{'value': 'https://www.linkedin.com/company/12958129'},rimeto
{'value': 'https://asktetra.com/'},,{'value': 'https://twitter.com/asktetra?lang=en'},{'value': 'https://www.facebook.com/calltetra/'},hello@asktetra.com,,tetra
{'value': 'http://imhush.com/'},,{'value': 'http://twitter.com/imhushapp'},{'value': 'http://www.facebook.com/imhushapp'},ed@imhush.com,,hush
{'value': 'http://www.subdreamstudios.com'},(408)646-9806,{'value': 'https://twitter.com/SubdreamStudios'},{'value': 'https://www.facebook.com/SubdreamStudios/'},pr@subdreamstudios.com,{'value': 'https://www.linkedin.com/company-beta/17917204/'},subdream-studios
{'value': 'http://www.stedi.com'},,,,hello@stedi.com,{'value': 'https://www.linkedin.com/company/15264107?trk=prof-exp-company-name'},stedi
{'value': 'http://www.magnarapp.com'},+351933110930,,,geral@magnarapp.com,,magnar
{'value': 'http://www.princetonventures.com'},(609) 454-5700,{'value': 'https://www.twitter.com/princeton_vc'},{'value': 'https://www.facebook.com/princetonventures'},info@princetonventures.com,,princeton-ventures
{'value': 'https://www.hulu.com/'},,{'value': 'https://www.twitter.com/hulu'},{'value': 'https://www.facebook.com/hulu/'},support@hulu.com,{'value': 'https://www.linkedin.com/company/hulu'},hulu
{'value': 'https://www.kylie.ai'},"+1 (415) 463-7870

",{'value': 'https://twitter.com/aikylie'},,,{'value': 'https://www.linkedin.com/company/kylie.ai'},kylie-ai
{'value': 'https://distributedsystems.com'},,{'value': 'https://twitter.com/_dsys'},{'value': 'https://www.facebook.com/distributedsystemsinc'},hi@pavlovml.com,{'value': 'https://www.linkedin.com/company/cleargraphinc/'},distributed-systems
{'value': 'http://brid.ge'},,{'value': 'http://twitter.com/BridgeLabs'},,,,bridge
{'value': 'http://www.key.me'},1(888) 380-0394,{'value': 'http://twitter.com/KeyMe'},{'value': 'http://www.facebook.com/KeyMeInc'},support@key.me,{'value': 'http://www.linkedin.com/company/keyme'},keyme
{'value': 'http://www.educents.com'},(866)998-0517,{'value': 'http://twitter.com/educents'},{'value': 'http://www.facebook.com/educents'},Info@Educents.com,{'value': 'http://www.linkedin.com/company/educents'},educents
{'value': 'https://www.movewith.com'},,{'value': 'https://twitter.com/teammovewith'},{'value': 'https://www.facebook.com/TeamMoveWith'},info@movewith.com,{'value': 'https://www.linkedin.com/in/hollyshelton'},movewith
{'value': 'https://www.fountain.com'},415-854-7333,{'value': 'https://twitter.com/Fountain_Inc'},{'value': 'https://www.facebook.com/fountain.inc'},sales@fountain.com,{'value': 'https://www.linkedin.com/company/4858006'},fountain
{'value': 'https://www.bluecrewjobs.com/'},(650) 924-5370,{'value': 'https://twitter.com/bluecrewjobs'},{'value': 'https://www.facebook.com/Bluecrewjobs'},support@bluecrewjobs.com,{'value': 'https://www.linkedin.com/company/bluecrew'},bluecrew
{'value': 'https://www.phil.us'},1(855)977-0975,,,hello@phil.us,,phil
{'value': 'https://www.solugentech.com/'},(832)276-3616,{'value': 'https://twitter.com/solugen'},,g@solugen.co,{'value': 'https://www.linkedin.com/company/solugen/?originalSubdomain=in'},solugen
{'value': 'https://govpredict.com'},844-899-7277,{'value': 'https://twitter.com/govpredict'},{'value': 'https://www.facebook.com/govpredict'},support@govpredict.com,{'value': 'https://www.linkedin.com/company/govpredict'},govpredict
{'value': 'https://ring.com'},(800) 656-1918,,,help@ring.com,,ring
{'value': 'https://jointechmate.com'},1(844)266-8694,{'value': 'https://twitter.com/techmateteam'},{'value': 'https://www.facebook.com/techmateteam'},hello@jointechmate.com,{'value': 'https://www.linkedin.com/company/techmates'},techmate
{'value': 'https://www.optimusride.com'},,{'value': 'https://twitter.com/optimusride'},,info@optimusride.com,{'value': 'https://www.linkedin.com/company/10459493?trk=cws-btn-overview-0-0'},optimus-ride
{'value': 'http://www.mantl.com'},,{'value': 'https://twitter.com/Mantl_tech'},{'value': 'https://www.facebook.com/mantltech/'},hello@mantl.com,{'value': 'https://www.linkedin.com/company/mantl/'},mantl
{'value': 'http://thehustle.co/'},,{'value': 'https://twitter.com/hustle_says?lang=en'},{'value': 'https://www.facebook.com/pg/hustlecon/about/?ref=page_internal'},holler@thehustle.co,{'value': 'https://www.linkedin.com/company-beta/10683450/?pathWildcard=10683450'},the-hustle
{'value': 'http://meta.org'},,{'value': 'http://twitter.com/meta'},{'value': 'http://fb.me/MetaScienceAI'},hello@meta.com,{'value': 'https://www.linkedin.com/company/3025971'},meta
{'value': 'http://www.ramen.ventures/'},,{'value': 'https://www.twitter.com/ramenventures'},,,,ramen-ventures
{'value': 'http://www.joymode.com/'},(424) 272-8808,{'value': 'https://twitter.com/joymode'},{'value': 'https://www.facebook.com/livejoymode'},support@joymode.com,{'value': 'https://www.linkedin.com/company/liveinjoymode/'},joymode
{'value': 'https://www.fullcontact.com'},,{'value': 'https://twitter.com/FullContact'},{'value': 'http://www.facebook.com/FullContact'},marketing@fullcontact.com,{'value': 'http://www.linkedin.com/company/fullcontact-inc-'},fullcontact
{'value': 'http://www.quartzy.com'},855-728-7899,{'value': 'http://twitter.com/quartzy'},{'value': 'https://www.facebook.com/Quartzy-187400204907/info/?tab=page_info'},info@quartzy.com,{'value': 'https://www.linkedin.com/company/quartzy-llc'},quartzy
{'value': 'http://www.trendmd.com'},1-888-589-5561,{'value': 'http://twitter.com/trendmd'},{'value': 'https://www.facebook.com/pg/Trendmd'},support@trendmd.com,{'value': 'https://www.linkedin.com/company/trendmd'},trendmd
{'value': 'http://salido.com'},"646-844-7809

+1 646-844-7809",{'value': 'http://twitter.com/salidonyc'},{'value': 'http://www.facebook.com/salidonyc'},team@salido.com,{'value': 'http://www.linkedin.com/company/salido'},salido
{'value': 'http://www.SHIFT.com'},877.350.7628,{'value': 'http://twitter.com/SHIFTplatform'},{'value': 'http://www.facebook.com/shiftplatform'},info@shift.com,{'value': 'http://www.linkedin.com/company/shift.com'},shift
{'value': 'https://www.plastiq.com'},844-210-8122,{'value': 'https://twitter.com/payplastiq'},{'value': 'https://www.facebook.com/payplastiq'},info@plastiq.com,{'value': 'https://www.linkedin.com/company/plastiq'},plastiq
{'value': 'http://www.mapbox.com'},,{'value': 'http://twitter.com/Mapbox'},{'value': 'http://www.facebook.com/Mapbox'},info@mapbox.com,{'value': 'http://www.linkedin.com/company/mapbox'},mapbox
{'value': 'https://goshippo.com'},,{'value': 'http://twitter.com/goshippo'},{'value': 'http://www.facebook.com/goshippo'},outreach@goshippo.com,{'value': 'http://www.linkedin.com/company/4991283'},shippo
{'value': 'https://www.shopmoment.com/'},,{'value': 'http://twitter.com/moment'},{'value': 'http://www.facebook.com/momentlenses/info'},hello@momentlens.co,{'value': 'https://www.linkedin.com/company/moment-inc-?trk=biz-companies-cym'},moment
{'value': 'http://wonolo.com'},14045851239,{'value': 'http://twitter.com/Wonolo'},{'value': 'http://www.facebook.com/wonoloapp'},support@wonolo.com,{'value': 'http://www.linkedin.com/company/wonolo'},wonolo
{'value': 'https://www.gravitygroup.ai'},,,,,{'value': 'https://www.linkedin.com/company/gravitygroup1/'},gravity-group
{'value': 'http://www.pilot.me'},,{'value': 'http://twitter.com/Pilotapp'},,hello@pilot.me,,pilot
{'value': 'http://www.leo.org/index_en.html'},,,{'value': 'https://www.facebook.com/dict.leo.org'},,,leo
{'value': 'http://www.radiopublic.com/'},,{'value': 'https://www.twitter.com/radiopublic'},,,,radiopublic
{'value': 'http://www.windfalldata.com/'},,{'value': 'https://www.twitter.com/windfalldata'},,,{'value': 'https://www.linkedin.com/company/10874927'},windfall-data
{'value': 'http://www.getsimpleprints.com/'},(415) 228-3179,{'value': 'https://twitter.com/storytree'},{'value': 'https://www.facebook.com/GetSimplePrints'},hello@getsimpleprints.com,{'value': 'https://www.linkedin.com/in/mattknsullivan'},simpleprints
{'value': 'http://www.homelight.com'},(888) 988-1909,{'value': 'http://twitter.com/HomeLightApp'},{'value': 'http://www.facebook.com/gohomelight'},info@homelight.com,{'value': 'http://www.linkedin.com/company/homelight'},homelight
{'value': 'https://www.techstars.com/'},,{'value': 'https://twitter.com/techstars'},{'value': 'https://www.facebook.com/techstars'},info@techstars.com,{'value': 'https://www.linkedin.com/company/techstars/'},techstars
{'value': 'http://www.voxy.com'},,{'value': 'http://twitter.com/voxy'},{'value': 'http://www.facebook.com/goVOXY'},ana@voxy.com,{'value': 'http://www.linkedin.com/company/voxy'},voxy
{'value': 'http://www.zeus.com/index.html'},+1 (415) 247-8800,{'value': 'http://twitter.com/riverbed'},{'value': 'https://www.facebook.com/brocade'},info@zeus.com,{'value': 'https://www.linkedin.com/company/brocade'},zeus
{'value': 'http://designerfund.com'},,{'value': 'http://twitter.com/designerfund'},{'value': 'http://www.facebook.com/DesignerFund'},,{'value': 'https://www.linkedin.com/company/2998004'},designer-fund
{'value': 'http://www.good.co'},,{'value': 'http://twitter.com/ingoodco'},{'value': 'http://www.facebook.com/thegoodco'},info@good.co,{'value': 'http://www.linkedin.com/company/2837390'},good-co
{'value': 'http://www.merchbar.com'},415-813-3381,{'value': 'https://twitter.com/merchbar'},{'value': 'https://www.facebook.com/Merchbar/'},support@merchbar.com,,merchbar
{'value': 'http://www.zendrive.com'},,{'value': 'http://twitter.com/zendrive'},{'value': 'http://www.facebook.com/getzendrive'},info@zendrive.com,{'value': 'http://www.linkedin.com/company/zendrive'},zendrive
{'value': 'http://www.rubikloud.ai'},,{'value': 'http://twitter.com/rubikloud'},{'value': 'https://www.facebook.com/rubikloud'},marketing@rubikloud.com,{'value': 'https://www.linkedin.com/company/rubikloud-technologies'},rubikloud
{'value': 'http://arthena.com'},,{'value': 'https://twitter.com/arthenaart'},{'value': 'https://www.facebook.com/pg/arthenaart'},info@arthena.com,{'value': 'https://www.linkedin.com/company/arthena/'},arthena
{'value': 'http://txn.com/'},,{'value': 'https://twitter.com/hellotxn'},{'value': 'https://www.facebook.com/hellotxn'},hello@txn.com,,txn
{'value': 'https://www.datawire.io/'},,{'value': 'https://www.twitter.com/datawireio'},{'value': 'https://www.facebook.com/datawireio'},,{'value': 'https://www.linkedin.com/company/9320816'},datawire
{'value': 'http://www.airfox.com'},,{'value': 'https://twitter.com/_airfox'},{'value': 'https://www.facebook.com/AirFox0/'},care@airfox.io,{'value': 'https://www.linkedin.com/company/7791018'},airfox
{'value': 'https://www.terminal49.com'},,,,,{'value': 'https://www.linkedin.com/company-beta/18060031/'},terminal-49
{'value': 'https://www.onemove.net/'},+1 (855) 355-4972,{'value': 'https://www.twitter.com/onemovenetwork'},{'value': 'https://www.facebook.com/onemovenetwork'},,{'value': 'https://www.linkedin.com/company/onemove'},onemove
{'value': 'http://www.loom.com'},,{'value': 'http://twitter.com/teamloom'},,hello@loom.com,,loom
{'value': 'http://www.nautilus-labs.com'},,{'value': 'http://twitter.com/nautilus_labs'},{'value': 'http://www.facebook.com/nautiluslabs'},contact@nautilus-labs.com,{'value': 'http://www.linkedin.com/company/nautilus-labs'},nautilus-labs
{'value': 'http://workstep.com'},,,,,,workstep
{'value': 'https://www.fieldwire.com'},(855)222-4959,{'value': 'https://twitter.com/fieldwirehq'},{'value': 'http://www.facebook.com/www.fieldwire.net'},info@fieldwire.com,{'value': 'http://www.linkedin.com/company/fieldwirelabs'},fieldwire
{'value': 'http://queue.carbon.co/'},,{'value': 'https://www.twitter.com/carbon'},,hello@caarbon.com,,carbon
{'value': 'http://realventures.com'},,{'value': 'http://twitter.com/realventures'},{'value': 'https://www.facebook.com/realventuresvc/'},hello@realventures.com,{'value': 'http://www.linkedin.com/company/real-ventures'},real-ventures
{'value': 'http://www.compassmc.com'},,,,webmaster@compassmc.com,,compass
